0 (69.888000000000019, -10.23580870125876, 59.652191298741258)
1 (69.888000000000019, -10.23578475912184, 59.652215240878178)
2 (69.888000000000019, -10.233982308054541, 59.654017691945477)
3 (69.888000000000019, -10.230341156577717, 59.657658843422304)
4 (69.888000000000019, -10.224798323002785, 59.663201676997232)
5 (69.888000000000019, -10.217287911796166, 59.670712088203857)
6 (69.888000000000019, -10.207740984852938, 59.68025901514708)
7 (69.888000000000019, -10.196085427453522, 59.691914572546494)
8 (69.888000000000019, -10.182245808666657, 59.705754191333362)
9 (69.888000000000019, -10.166143235951699, 59.721856764048319)
